0	1															
0	2															
0	1	2	4	5	6											
0	1	2														
1	2	7														
0	1	2	8													
1	2	7	8	14												
0	1	2	7	8												
0	1	2	3	4	5	6										
0	1	2	4	5	6	7	8									
0	1	2	4	5	6	7	8									
1	15	16	17	18	20	21	22	23	24	28						
1	2	3														
0	1	2	7	8	14											
1	2	4	5	6	11	12	13									
0	1	2	7	8												
0	1	2	7	8												
0	1	2	4	5	6	11	12	13								
0	1	2	4	5	6	7	8	11	12	13						
0	1	2	7	8	14											
0	1	2	7	8	14											
0	1	2	7	8	14											
1	2	4	5	6	11	12	13									
1	2	4	5	6	11	12	13									
1	2	7	8	14												
1	2	3	4	5	6	9	11	12	13	25	28					
1	2	4	5	6	7	8	11	12	13	14						
1	2	3	8	11	12	13										
1	4	5	6	8	11	12	13	14								
1	8	11	12	13	14	15	16	17	18	20	21	22	26	31	32	33	34
26	27	30	31	32	33	34										
26	30	31	33	34	35
