pertubation,secondary_extinction
0.0331126,0.106195
0.0397351,0.106195
0.0463576,0.106195
0.0529801,0.106195
0.0596026,0.106195
0.0662252,0.106195
0.0728477,0.0973451
0.0794702,0.106195
0.0860927,0.106195
0.0927152,0.106195
0.0993377,0.106195
0.10596,0.106195
0.112583,0.106195
0.119205,0.106195
0.125828,0.106195
0.13245,0.0973451
0.139073,0.123894
0.145695,0.106195
0.152318,0.106195
0.15894,0.0973451
0.165563,0.106195
0.172185,0.106195
0.177152,0.106195
0.182119,0.115044
0.187086,0.106195
0.192053,0.0973451
0.19702,0.106195
0.201987,0.106195
0.206954,0.106195
0.211921,0.123894
0.216887,0.123894
0.221854,0.106195
0.226821,0.106195
0.231788,0.0973451
0.236755,0.106195
0.241722,0.0973451
0.246689,0.106195
0.251656,0.106195
0.256623,0.115044
0.261589,0.106195
0.266556,0.106195
0.271523,0.106195
0.27649,0.106195
0.281457,0.123894
0.286424,0.106195
0.291391,0.0973451
0.296358,0.106195
0.301325,0.106195
0.306291,0.123894
0.311258,0.106195
0.316225,0.106195
0.321192,0.106195
0.326159,0.106195
0.331126,0.115044
0.336093,0.106195
0.34106,0.0973451
0.346026,0.106195
0.350993,0.115044
0.35596,0.106195
0.360927,0.123894
0.365894,0.106195
0.370861,0.106195
0.375828,0.115044
0.380795,0.132743
0.385762,0.115044
0.390728,0.0973451
0.395695,0.115044
0.400662,0.115044
0.405629,0.115044
0.410596,0.123894
0.415563,0.106195
0.42053,0.106195
0.425497,0.115044
0.430464,0.115044
0.43543,0.106195
0.440397,0.132743
0.445364,0.106195
0.450331,0.106195
0.455298,0.106195
0.460265,0.123894
0.465232,0.115044
0.470199,0.132743
0.475166,0.123894
0.480132,0.159292
0.485099,0.115044
0.490066,0.20354
0.495033,0.123894
0.5,0.168142
0.504967,0.176991
0.509934,0.938053
0.514901,0.185841
0.519868,0.150442
0.524834,0.814159
0.529801,0.185841
0.534768,0.840708
0.539735,0.123894
0.544702,0.973451
0.549669,1.0
0.554636,0.973451
0.559603,0.884956
0.56457,0.938053
0.569536,0.929204
0.574503,0.823009
0.57947,0.938053
0.584437,0.902655
0.589404,0.946903
0.594371,0.982301
0.599338,0.973451
0.604305,0.929204
0.609272,1.0
0.614238,0.911504
0.619205,0.938053
0.624172,1.0
0.629139,0.955752
0.634106,0.982301
0.639073,0.929204
0.64404,0.955752
0.649007,0.982301
0.653974,0.982301
0.65894,0.902655
0.663907,0.964602
0.668874,0.982301
0.673841,0.946903
0.678808,1.0
0.683775,0.946903
0.688742,0.982301
0.693709,0.982301
0.698675,0.964602
0.703642,0.946903
0.708609,0.99115
0.713576,0.929204
0.718543,0.893805
0.72351,0.938053
0.728477,1.0
0.733444,0.973451
0.738411,1.0
0.743377,0.99115
0.748344,0.955752
0.753311,0.973451
0.758278,0.938053
0.761589,1.0
0.764901,0.938053
0.768212,0.964602
0.771523,0.99115
0.774834,0.955752
0.778146,1.0
0.781457,1.0
0.784768,0.982301
0.788079,0.99115
0.791391,0.973451
0.794702,0.955752
0.798013,1.0
0.801325,0.99115
0.804636,1.0
0.807947,0.982301
0.811258,0.982301
0.81457,1.0
0.817881,1.0
0.821192,1.0
0.824503,1.0
0.827815,0.964602
0.831126,1.0
0.834437,1.0
0.837748,1.0
0.84106,1.0
0.844371,1.0
0.847682,1.0
0.850993,1.0
0.854305,1.0
0.857616,1.0
0.860927,1.0
0.864238,1.0
0.86755,1.0
0.870861,1.0
0.874172,1.0
0.877483,1.0
0.880795,1.0
0.884106,1.0
0.887417,1.0
0.889073,0.99115
0.890728,1.0
0.892384,1.0
0.89404,1.0
0.895695,1.0
0.897351,1.0
0.899007,1.0
0.900662,1.0
0.902318,1.0
0.903974,1.0
0.905629,1.0
0.907285,1.0
0.90894,1.0
0.910596,1.0
0.912252,1.0
0.913907,1.0
0.915563,1.0
0.917219,1.0
0.918874,1.0
0.92053,1.0
0.922185,1.0
0.923841,1.0
0.925497,1.0
0.927152,1.0
0.928808,1.0
0.930464,1.0
0.932119,1.0
0.933775,1.0
0.93543,1.0
0.937086,1.0
0.938742,1.0
0.940397,1.0
0.942053,1.0
0.943709,1.0
0.945364,1.0
0.94702,1.0
0.948675,1.0
0.950331,1.0
0.951987,1.0
0.953642,1.0
0.955298,1.0
0.956954,1.0
0.958609,1.0
0.960265,1.0
0.961921,1.0
0.963576,1.0
0.965232,1.0
0.966887,1.0
0.968543,1.0
0.970199,1.0
0.971854,0.99115
0.97351,1.0
0.975166,1.0
0.976821,1.0
0.978477,1.0
0.980132,1.0
0.981788,1.0
0.983444,1.0
0.985099,1.0
0.986755,1.0
0.988411,1.0
0.990066,1.0
0.991722,0.973451
0.993377,1.0
0.995033,1.0
0.996689,1.0
0.998344,1.0
1.0,1.0
0.00662252,0.079646
0.013245,0.0973451
0.0198675,0.079646
0.0264901,0.079646
0.0331126,0.079646
0.0397351,0.079646
0.0463576,0.079646
0.0529801,0.079646
0.0596026,0.079646
0.0662252,0.079646
0.0728477,0.079646
0.0794702,0.0973451
0.0860927,0.079646
0.0927152,0.0973451
0.0993377,0.079646
0.10596,0.0973451
0.112583,0.079646
0.119205,0.079646
0.125828,0.079646
0.13245,0.079646
0.139073,0.079646
0.145695,0.0884956
0.152318,0.079646
0.15894,0.079646
0.165563,0.079646
0.172185,0.079646
0.177152,0.079646
0.182119,0.079646
0.187086,0.0884956
0.192053,0.079646
0.19702,0.079646
0.201987,0.079646
0.206954,0.079646
0.211921,0.079646
0.216887,0.106195
0.221854,0.0973451
0.226821,0.115044
0.231788,0.079646
0.236755,0.0973451
0.241722,0.0973451
0.246689,0.0973451
0.251656,0.0973451
0.256623,0.0973451
0.261589,0.106195
0.266556,0.079646
0.271523,0.0973451
0.27649,0.115044
0.281457,0.0973451
0.286424,0.0973451
0.291391,0.115044
0.296358,0.115044
0.301325,0.106195
0.306291,0.079646
0.311258,0.0973451
0.316225,0.079646
0.321192,0.0973451
0.326159,0.0973451
0.331126,0.115044
0.336093,0.106195
0.34106,0.106195
0.346026,0.106195
0.350993,0.123894
0.35596,0.115044
0.360927,0.0973451
0.365894,0.123894
0.370861,0.0884956
0.375828,0.115044
0.380795,0.106195
0.385762,0.115044
0.390728,0.106195
0.395695,0.0973451
0.400662,0.0973451
0.405629,0.115044
0.410596,0.141593
