pertubation,secondary_extinction
0.10596,0.106195
0.10596,0.0973451
0.10596,0.0353982
0.10596,0.0619469
0.10596,0.079646
0.10596,0.106195
0.10596,0.0884956
0.10596,0.0707965
0.10596,0.0442478
0.10596,0.0973451
0.10596,0.0619469
0.10596,0.0265487
0.10596,0.115044
0.10596,0.0442478
0.10596,0.168142
0.10596,0.0884956
0.10596,0.115044
0.10596,0.0530973
0.10596,0.0442478
0.10596,0.0973451
0.10596,0.115044
0.10596,0.079646
0.10596,0.079646
0.10596,0.106195
0.10596,0.079646
0.10596,0.115044
0.10596,0.0973451
0.10596,0.0265487
0.10596,0.0707965
0.10596,0.0442478
0.10596,0.106195
0.10596,0.106195
0.10596,0.0353982
0.10596,0.106195
0.10596,0.0265487
0.10596,0.0353982
0.10596,0.0884956
0.10596,0.0442478
0.10596,0.0176991
0.10596,0.0530973
0.10596,0.0442478
0.10596,0.159292
0.10596,0.0619469
0.10596,0.0265487
0.10596,0.0530973
0.10596,0.0442478
0.10596,0.079646
0.10596,0.123894
0.10596,0.0353982
0.10596,0.0530973
0.10596,0.0884956
0.10596,0.123894
0.10596,0.123894
0.10596,0.115044
0.10596,0.106195
0.10596,0.0442478
0.10596,0.0619469
0.10596,0.0619469
0.10596,0.0530973
0.10596,0.0353982
0.10596,0.0707965
0.10596,0.079646
0.10596,0.0530973
0.10596,0.0707965
0.10596,0.0884956
0.10596,0.0176991
0.10596,0.115044
0.10596,0.0619469
0.10596,0.0707965
0.10596,0.0884956
0.10596,0.0707965
0.10596,0.0884956
0.10596,0.0973451
0.10596,0.0530973
0.10596,0.0707965
0.10596,0.079646
0.10596,0.0884956
0.10596,0.0265487
0.10596,0.0265487
0.10596,0.0265487
0.10596,0.0442478
0.10596,0.0353982
0.10596,0.0442478
0.10596,0.079646
0.10596,0.0707965
0.10596,0.0884956
0.10596,0.079646
0.10596,0.079646
0.10596,0.0442478
0.10596,0.0442478
0.10596,0.0619469
0.10596,0.141593
0.10596,0.0442478
0.10596,0.0353982
0.10596,0.0884956
0.10596,0.0707965
0.10596,0.0973451
0.10596,0.0530973
0.10596,0.0265487
0.10596,0.00884956
0.201987,0.106195
0.201987,0.079646
0.201987,0.0442478
0.201987,0.0530973
0.201987,0.079646
0.201987,0.0973451
0.201987,0.0884956
0.201987,0.0707965
0.201987,0.0442478
0.201987,0.0973451
0.201987,0.0619469
0.201987,0.0265487
0.201987,0.115044
0.201987,0.0442478
0.201987,0.168142
0.201987,0.0884956
0.201987,0.106195
0.201987,0.0530973
0.201987,0.0442478
0.201987,0.0973451
0.201987,0.115044
0.201987,0.079646
0.201987,0.079646
0.201987,0.106195
0.201987,0.079646
0.201987,0.115044
